"Date","PM25"
2019-04-15,33.6083333333333
2019-04-16,46.4875
2019-04-17,49.4708333333333
2019-04-18,45.9458333333333
2019-04-19,26.9791666666667
2019-04-20,27.2708333333333
2019-04-21,29.7458333333333
2019-04-22,46.8416666666667
2019-04-23,27.2875
2019-04-24,23.4541666666667
2019-04-25,5.41666666666667
2019-04-26,5.15833333333333
2019-04-27,3.88333333333333
2019-04-28,6.7125
2019-04-29,15.2833333333333
2019-04-30,21.9791666666667
2019-05-01,18.3625
2019-05-02,10.3263157894737
2019-05-03,9.525
2019-05-04,7.41666666666667
2019-05-05,9.3
2019-05-06,5.66666666666667
2019-05-07,10.4458333333333
2019-05-08,8.4
2019-05-09,12.75
2019-05-10,10.2083333333333
2019-05-11,12.75
2019-05-12,6.48333333333333
2019-05-13,6.52916666666667
2019-05-14,7.275
2019-05-15,17.4125
2019-05-16,11.0666666666667
2019-05-17,11.6333333333333
2019-05-18,16.4541666666667
2019-05-19,17.25
2019-05-20,16.5666666666667
2019-05-21,8.57916666666667
2019-05-22,7.175
2019-05-23,7.22916666666667
2019-05-24,10.0291666666667
2019-05-25,6.44583333333333
2019-05-26,5.475
2019-05-27,5.21666666666667
2019-05-28,4.60416666666667
2019-05-29,7.8125
2019-05-30,6.30416666666667
2019-05-31,4.77916666666667
2019-06-01,6.55833333333333
2019-06-02,6.98333333333333
2019-06-03,5.74166666666667
2019-06-04,10.175
2019-06-05,5.87083333333333
2019-06-06,4.9875
2019-06-07,8.46521739130435
2019-06-08,3.07083333333333
2019-06-09,4.96666666666667
2019-06-10,6.64166666666667
2019-06-11,7.44583333333333
2019-06-12,7.35454545454545
2019-06-13,6.56666666666667
2019-06-14,4.76666666666667
2019-06-15,4.61666666666667
2019-06-16,4.375
2019-06-17,5.6
2019-06-18,10.6583333333333
2019-06-19,12.7958333333333
2019-06-20,4.70416666666667
2019-06-21,5.50416666666667
2019-06-22,7.25416666666667
2019-06-23,17.8041666666667
2019-06-24,20.9625
2019-06-25,17.6291666666667
2019-06-26,8.12916666666667
2019-06-27,7.125
2019-06-28,10.8208333333333
2019-06-29,16.2666666666667
2019-06-30,6.85416666666667
2019-07-01,3.3695652173913
2019-07-02,7.0375
2019-07-03,7.5125
2019-07-04,7.8625
2019-07-05,8.99166666666667
2019-07-06,6.85
2019-07-07,6.55
2019-07-08,8.02916666666667
2019-07-09,8.50833333333333
2019-07-10,10.0083333333333
2019-07-11,6.8125
2019-07-12,6.50416666666667
2019-07-13,6.1375
2019-07-14,5.925
2019-07-15,4.31304347826087
2019-07-16,8.31904761904762
2019-07-17,10.1875
2019-07-18,6.55833333333333
2019-07-19,5.14166666666667
2019-07-20,4.32
2019-07-21,4.3125
2019-07-22,7.82916666666667
2019-07-23,13.0208333333333
2019-07-24,13.5291666666667
2019-07-25,16.7666666666667
2019-07-26,12.5055555555556
2019-07-27,6.87916666666667
2019-07-28,4.05833333333333
2019-07-29,5.5875
2019-07-30,5.5375
